아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-1. 고려한 관광활동_1,문3-2. 고려한 관광인프라_1,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문9-5. 주요 이용 숙박시설_1,문9-5. 주요 이용 숙박시설_2,문9-5. 주요 이용 숙박시설_3,문9-5. 주요 이용 숙박시설_4,문9-5. 주요 이용 숙박시설_5,문9-5. 주요 이용 숙박시설_6,문9-5. 주요 이용 숙박시설_7,문9-5. 주요 이용 숙박시설_8,문9-5. 주요 이용 숙박시설_9,문9-5. 숙박시설별 숙박기간_호텔,문9-5. 숙박시설별 숙박기간_모텔/여관,문9-5. 숙박시설별 숙박기간_콘도미니엄/리조트,문9-5. 숙박시설별 숙박기간_게스트하우스/호스텔,문9-5. 숙박시설별 숙박기간_민박/펜션,"문9-5. 숙박시설별 숙박기간_학교/회사 기숙사, 연수원 등",문9-5. 숙박시설별 숙박기간_친척 또는 친구 집,문9-5. 숙박시설별 숙박기간_기타,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
240,1,2,3,1,3,5.0,8.0,6.0,355.092,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,3,서울
243,1,2,2,1,1,9.0,2.0,9.0,232.068,5.0,1.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,2,서울
246,4,1,4,1,1,3.0,1.0,4.0,400.0,8.0,1.0,,,,,,,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,혼자형,1,서울
247,4,2,2,1,1,1.0,2.0,6.0,166.666666666667,18.0,1.0,,,,,,,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,3,서울
248,1,1,3,1,1,5.0,2.0,5.0,297.075,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,가족형,1,서울
250,6,1,2,1,1,4.0,4.0,5.0,156.9208,5.0,1.0,,,4.0,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,호텔,친구형,2,경북
251,6,2,2,1,1,4.0,6.0,3.0,166.857142857143,7.0,,2.0,,4.0,,,,,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,모텔/여관,가족형,2,서울
255,6,2,5,1,1,1.0,4.0,4.0,146.0,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
258,6,1,4,1,1,8.0,5.0,9.0,175.2,4.0,1.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,단체형,2,부산
259,3,2,3,1,3,2.0,3.0,1.0,183.033333333333,6.0,1.0,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,호텔,친구형,2,부산
